CHR	START	END	INFO
chr3	189507248	189507448	uc021xir.1_up_200_chr3_189507249_f
chr4	110624629	110624829	uc003hzn.1_up_200_chr4_110624630_r
chr4	110624629	110624829	uc003hzo.1_up_200_chr4_110624630_r
chr5	176730562	176730762	uc003mfx.4_up_200_chr5_176730563_f
chr5	176730562	176730762	uc021yiq.2_up_200_chr5_176730563_f
chr6	138428660	138428860	uc003qht.2_up_200_chr6_138428661_r
chr7	45960500	45960700	uc003tnq.3_up_200_chr7_45960501_r
chr7	45960871	45961071	uc003tnr.3_up_200_chr7_45960872_r
chr7	45960871	45961071	uc003tns.3_up_200_chr7_45960872_r
chr7	45960871	45961071	uc003tnt.3_up_200_chr7_45960872_r
chr7	142985107	142985307	uc003wco.3_up_200_chr7_142985108_f
chr7	142985107	142985307	uc003wcp.3_up_200_chr7_142985108_f
chr7	142986480	142986680	uc003wcq.3_up_200_chr7_142986481_f
chr7	142985107	142985307	uc011kta.2_up_200_chr7_142985108_f
chr7	142996763	142996963	uc011ktb.2_up_200_chr7_142996764_f
chr8	22885412	22885612	uc003xcs.1_up_200_chr8_22885413_r
chr8	22926700	22926900	uc003xct.2_up_200_chr8_22926701_r
chr8	22926700	22926900	uc003xcu.2_up_200_chr8_22926701_r
chr8	22926700	22926900	uc003xcv.2_up_200_chr8_22926701_r
chr8	22960126	22960326	uc003xcy.3_up_200_chr8_22960127_f
chr8	23021543	23021743	uc003xcz.2_up_200_chr8_23021544_r
chr8	23082680	23082880	uc003xda.3_up_200_chr8_23082681_r
chr8	26240322	26240522	uc003xex.1_up_200_chr8_26240323_f
chr8	26247705	26247905	uc003xey.2_up_200_chr8_26247706_f
chr8	95961615	95961815	uc003yhg.3_up_200_chr8_95961616_r
chr8	95961615	95961815	uc003yhh.3_up_200_chr8_95961616_r
chr8	134256746	134256946	uc003yue.2_up_200_chr8_134256747_r
chr8	134268471	134268671	uc003yuf.1_up_200_chr8_134268472_r
chr8	134309547	134309747	uc003yug.2_up_200_chr8_134309548_r
chr8	134309547	134309747	uc003yuh.2_up_200_chr8_134309548_r
chr8	26240322	26240522	uc010luh.1_up_200_chr8_26240323_f
chr8	26240693	26240893	uc010lui.1_up_200_chr8_26240694_f
chr8	134309547	134309747	uc010mee.2_up_200_chr8_134309548_r
chr8	134309547	134309747	uc010mef.2_up_200_chr8_134309548_r
chr8	22926700	22926900	uc011kzq.1_up_200_chr8_22926701_r
chr8	22960126	22960326	uc011kzr.2_up_200_chr8_22960127_f
chr8	134309547	134309747	uc011ljh.1_up_200_chr8_134309548_r
chr8	134309547	134309747	uc011lji.1_up_200_chr8_134309548_r
chr8	22926700	22926900	uc031tan.1_up_200_chr8_22926701_r
chrX	85302566	85302766	uc004eet.3_up_200_chrX_85302567_r
chrX	85302309	85302509	uc004eeu.4_up_200_chrX_85302310_r
chrX	85302566	85302766	uc004eev.4_up_200_chrX_85302567_r
chrX	85302566	85302766	uc011mqz.2_up_200_chrX_85302567_r
chr10	71892690	71892890	uc001jqp.2_up_200_chr10_71892691_r
chr10	90750087	90750287	uc001kfr.3_up_200_chr10_90750088_f
chr10	90750087	90750287	uc001kfs.3_up_200_chr10_90750088_f
chr10	90750087	90750287	uc001kft.3_up_200_chr10_90750088_f
chr10	90750087	90750287	uc001kfw.3_up_200_chr10_90750088_f
chr10	90750844	90751044	uc009xtp.3_up_200_chr10_90750845_f
chr10	71883856	71884056	uc010qjg.2_up_200_chr10_71883857_r
chr10	90729352	90729552	uc010qna.2_up_200_chr10_90729353_f
chr10	90750087	90750287	uc010qnb.2_up_200_chr10_90750088_f
chr10	90750087	90750287	uc010qnc.2_up_200_chr10_90750088_f
chr10	90750087	90750287	uc010qnd.2_up_200_chr10_90750088_f
chr10	90750087	90750287	uc010qne.2_up_200_chr10_90750088_f
chr10	71892690	71892890	uc021psi.1_up_200_chr10_71892691_r
chr10	90750087	90750287	uc031pwn.1_up_200_chr10_90750088_f
chr11	104905884	104906084	uc001pig.4_up_200_chr11_104905885_r
chr11	104905884	104906084	uc001pim.5_up_200_chr11_104905885_r
chr11	108093358	108093558	uc001pkb.1_up_200_chr11_108093359_f
chr11	108094055	108094255	uc001pkc.1_up_200_chr11_108094056_f
chr11	108157704	108157904	uc001pkd.4_up_200_chr11_108157705_f
chr11	108157704	108157904	uc001pke.2_up_200_chr11_108157705_f
chr11	108158126	108158326	uc001pkf.3_up_200_chr11_108158127_f
chr11	108167500	108167700	uc001pkg.1_up_200_chr11_108167501_f
chr11	128813294	128813494	uc001qex.3_up_200_chr11_128813295_r
chr11	128813294	128813494	uc001qey.3_up_200_chr11_128813295_r
chr11	104905884	104906084	uc009yxi.4_up_200_chr11_104905885_r
chr11	104905884	104906084	uc009yxj.4_up_200_chr11_104905885_r
chr11	108093358	108093558	uc009yxr.1_up_200_chr11_108093359_f
chr11	108138936	108139136	uc009yxs.1_up_200_chr11_108138937_f
chr11	108175201	108175401	uc009yxt.1_up_200_chr11_108175202_f
chr11	128813294	128813494	uc009zcm.2_up_200_chr11_128813295_r
chr11	104905884	104906084	uc010rvk.3_up_200_chr11_104905885_r
chr11	104905884	104906084	uc010rvl.3_up_200_chr11_104905885_r
chr11	104905884	104906084	uc021qpp.2_up_200_chr11_104905885_r
chr11	104905884	104906084	uc021qpq.2_up_200_chr11_104905885_r
chr11	104905884	104906084	uc021qpr.2_up_200_chr11_104905885_r
chr11	104905884	104906084	uc021qps.2_up_200_chr11_104905885_r
chr11	104916051	104916251	uc021qpt.1_up_200_chr11_104916052_r
chr11	128813294	128813494	uc021qsc.1_up_200_chr11_128813295_r
chr11	128807789	128807989	uc021qsd.1_up_200_chr11_128807790_r
chr11	128807713	128807913	uc021qse.1_up_200_chr11_128807714_r
chr12	12223677	12223877	uc001rac.3_up_200_chr12_12223678_f
chr12	12224201	12224401	uc001rad.3_up_200_chr12_12224202_f
chr12	12224201	12224401	uc001rae.3_up_200_chr12_12224202_f
chr12	12232032	12232232	uc001raf.1_up_200_chr12_12232033_f
chr12	94070950	94071150	uc001tda.3_up_200_chr12_94070951_f
chr12	99038877	99039077	uc001tfy.3_up_200_chr12_99038878_f
chr12	99038877	99039077	uc001tfz.3_up_200_chr12_99038878_f
chr12	99038877	99039077	uc001tga.3_up_200_chr12_99038878_f
chr12	99038877	99039077	uc001tgb.3_up_200_chr12_99038878_f
chr12	99038877	99039077	uc001tgc.3_up_200_chr12_99038878_f
chr12	120884215	120884415	uc001tyg.3_up_200_chr12_120884216_r
chr12	99065112	99065312	uc009zto.3_up_200_chr12_99065113_f
chr12	94070950	94071150	uc010sur.1_up_200_chr12_94070951_f
chr12	94070950	94071150	uc010sus.1_up_200_chr12_94070951_f
chr14	24740833	24741033	uc001wof.4_up_200_chr14_24740834_r
chr14	24740833	24741033	uc001wog.4_up_200_chr14_24740834_r
chr14	104313927	104314127	uc001yof.1_up_200_chr14_104313928_r
chr14	104313222	104313422	uc001yog.1_up_200_chr14_104313223_r
chr14	104212890	104213090	uc010awv.1_up_200_chr14_104212891_r
chr16	3930121	3930321	uc002cvv.3_up_200_chr16_3930122_r
chr16	3930121	3930321	uc002cvw.3_up_200_chr16_3930122_r
chr16	29952005	29952205	uc002duw.2_up_200_chr16_29952006_f
chr16	29973150	29973350	uc002duy.2_up_200_chr16_29973151_f
chr16	29973150	29973350	uc010bzk.1_up_200_chr16_29973151_f
chr16	29974230	29974430	uc010bzl.1_up_200_chr16_29974231_f
chr17	7579937	7580137	uc002gig.1_up_200_chr17_7579938_r
chr17	7579937	7580137	uc002gih.3_up_200_chr17_7579938_r
chr17	7578811	7579011	uc002gii.2_up_200_chr17_7578812_r
chr17	7590868	7591068	uc002gij.3_up_200_chr17_7590869_r
chr17	7590868	7591068	uc002gim.3_up_200_chr17_7590869_r
chr17	7590868	7591068	uc002gin.3_up_200_chr17_7590869_r
chr17	7590868	7591068	uc002gio.3_up_200_chr17_7590869_r
chr17	76210076	76210276	uc002jvc.3_up_200_chr17_76210077_f
chr17	76210076	76210276	uc002jvd.2_up_200_chr17_76210077_f
chr17	76210076	76210276	uc002jve.1_up_200_chr17_76210077_f
chr17	76210076	76210276	uc002jvf.3_up_200_chr17_76210077_f
chr17	76210076	76210276	uc002jvg.3_up_200_chr17_76210077_f
chr17	76210076	76210276	uc002jvh.3_up_200_chr17_76210077_f
chr17	76210076	76210276	uc002jvi.3_up_200_chr17_76210077_f
chr17	80056106	80056306	uc002kdu.3_up_200_chr17_80056107_r
chr17	7576926	7577126	uc010cne.1_up_200_chr17_7576927_r
chr17	7578811	7579011	uc010cnf.2_up_200_chr17_7578812_r
chr17	7578811	7579011	uc010cng.2_up_200_chr17_7578812_r
chr17	7590868	7591068	uc010cnh.2_up_200_chr17_7590869_r
chr17	7590868	7591068	uc010cni.2_up_200_chr17_7590869_r
chr17	7578554	7578754	uc010cnj.1_up_200_chr17_7578555_r
chr17	7590868	7591068	uc010cnk.2_up_200_chr17_7590869_r
chr17	76210076	76210276	uc010dhk.1_up_200_chr17_76210077_f
chr17	76210076	76210276	uc010dhl.1_up_200_chr17_76210077_f
chr17	7590868	7591068	uc010vug.3_up_200_chr17_7590869_r
chr17	7579937	7580137	uc031qyp.1_up_200_chr17_7579938_r
chr17	7590868	7591068	uc031qyq.1_up_200_chr17_7590869_r
chr18	57566991	57567191	uc002lic.2_up_200_chr18_57566992_f
chr18	57566991	57567191	uc002lid.2_up_200_chr18_57566992_f
chr19	37569181	37569381	uc002ofl.3_up_200_chr19_37569182_f
chr19	47734451	47734651	uc002pgf.4_up_200_chr19_47734452_r
chr19	49457916	49458116	uc002plf.1_up_200_chr19_49457917_f
chr19	49457916	49458116	uc002plg.1_up_200_chr19_49457917_f
chr19	49457916	49458116	uc002plh.1_up_200_chr19_49457917_f
chr19	49457916	49458116	uc002plj.3_up_200_chr19_49457917_f
chr19	49457916	49458116	uc002plk.3_up_200_chr19_49457917_f
chr19	49457916	49458116	uc002pll.3_up_200_chr19_49457917_f
chr19	49457916	49458116	uc002plm.3_up_200_chr19_49457917_f
chr19	47736023	47736223	uc010eky.3_up_200_chr19_47736024_r
chr19	47736023	47736223	uc010ekz.3_up_200_chr19_47736024_r
chr19	47736023	47736223	uc010xyl.2_up_200_chr19_47736024_r
chr19	49457916	49458116	uc010xzx.2_up_200_chr19_49457917_f
chr19	47730276	47730476	uc021uwl.1_up_200_chr19_47730277_r
chr22	18256808	18257008	uc002znc.2_up_200_chr22_18256809_r
chr22	18257261	18257461	uc002znd.2_up_200_chr22_18257262_r
chr22	18257261	18257461	uc002zne.2_up_200_chr22_18257262_r
chr22	18257261	18257461	uc002znf.2_up_200_chr22_18257262_r
chr22	18257261	18257461	uc010gra.2_up_200_chr22_18257262_r
chr22	18257431	18257631	uc010grb.1_up_200_chr22_18257432_r
chr22	18257431	18257631	uc010grc.1_up_200_chr22_18257432_r
chr22	18256808	18257008	uc021wko.1_up_200_chr22_18256809_r
chr22	18257261	18257461	uc021wkp.1_up_200_chr22_18257262_r
